!distain	!distain		Remote Control	S:\Music\!distain\Unknown Album\!distain - Remote Control.mp3
2Cellos	2Cellos	Youtube	Hurt	S:\Music\2Cellos\Youtube\2Cellos - Hurt.mp3
Explosions in The Sky	Explosions In The Sky	Live at KVRX	Magic Hours	S:\Music\Explosions in the Sky\Live at KVRX\Explosions in The Sky - 06 - Magic Hours.mp3
Explosions in The Sky	Explosions in the Sky	Live at KVRX	Remember Me as a Time of Day	S:\Music\Explosions in the Sky\Live at KVRX\Explosions in The Sky - 07 - Remember Me as a Time of Day.mp3
Explosions in The Sky	Explosions In The Sky	Live at KVRX	Glittering Blackness	S:\Music\Explosions in the Sky\Live at KVRX\Explosions in The Sky - 08 - Glittering Blackness.mp3
Explosions In The Sky	Explosions In The Sky	The Earth Is Not A Cold Dead Place	First Breath After Coma	S:\Music\Explosions in the Sky\The Earth Is Not A Cold Dead Place\Explosions In The Sky - 01 - First Breath After Coma.mp3
Explosions In The Sky	Explosions In The Sky	The Earth Is Not A Cold Dead Place	The Only Moment We Were Alone	S:\Music\Explosions in the Sky\The Earth Is Not A Cold Dead Place\Explosions In The Sky - 02 - The Only Moment We Were Alone.mp3
Explosions In The Sky	Explosions In The Sky	The Earth Is Not A Cold Dead Place	Six Days At The Bottom Of The Ocean	S:\Music\Explosions in the Sky\The Earth Is Not A Cold Dead Place\Explosions In The Sky - 03 - Six Days At The Bottom Of The Ocean.mp3
Explosions In The Sky	Explosions In The Sky	The Earth Is Not A Cold Dead Place	Memorial	S:\Music\Explosions in the Sky\The Earth Is Not A Cold Dead Place\Explosions In The Sky - 04 - Memorial.mp3
Explosions In The Sky	Explosions In The Sky	The Earth Is Not A Cold Dead Place	Your Hand In Mine	S:\Music\Explosions in the Sky\The Earth Is Not A Cold Dead Place\Explosions In The Sky - 05 - Your Hand In Mine.mp3
Explosions In The Sky	Explosions In The Sky	The Rescue (EP)	Day One	S:\Music\Explosions in the Sky\The Rescue (EP)\Explosions In The Sky - 01 - Day One.mp3
Explosions In The Sky	Explosions In The Sky	The Rescue (EP)	Day Two	S:\Music\Explosions in the Sky\The Rescue (EP)\Explosions In The Sky - 02 - Day Two.mp3
Explosions In The Sky	Explosions In The Sky	The Rescue (EP)	Day Three	S:\Music\Explosions in the Sky\The Rescue (EP)\Explosions In The Sky - 03 - Day Three.mp3
Explosions In The Sky	Explosions In The Sky	The Rescue (EP)	Day Four	S:\Music\Explosions in the Sky\The Rescue (EP)\Explosions In The Sky - 04 - Day Four.mp3
Explosions In The Sky	Explosions In The Sky	The Rescue (EP)	Day Five	S:\Music\Explosions in the Sky\The Rescue (EP)\Explosions In The Sky - 05 - Day Five.mp3
Explosions In The Sky	Explosions In The Sky	The Rescue (EP)	Day Six	S:\Music\Explosions in the Sky\The Rescue (EP)\Explosions In The Sky - 06 - Day Six.mp3
Explosions In The Sky	Explosions In The Sky	The Rescue (EP)	Day Seven	S:\Music\Explosions in the Sky\The Rescue (EP)\Explosions In The Sky - 07 - Day Seven.mp3
Explosions In The Sky	Explosions In The Sky	The Rescue (EP)	Day Eight	S:\Music\Explosions in the Sky\The Rescue (EP)\Explosions In The Sky - 08 - Day Eight.mp3
Explosions In The Sky	Explosions in the Sky	Those Who Tell The Truth Shall Die, Those Who Tell the Truth Shall Live Forever	Greet Death	S:\Music\Explosions in the Sky\Those Who Tell The Truth Shall Die,\Explosions In The Sky - 01 - Greet Death.mp3
Explosions In The Sky	Explosions in the Sky	Those Who Tell The Truth Shall Die, Those Who Tell the Truth Shall Live Forever	Yasmin The Light	S:\Music\Explosions in the Sky\Those Who Tell The Truth Shall Die,\Explosions In The Sky - 02 - Yasmin The Light.mp3
Explosions In The Sky	Explosions in the Sky	Those Who Tell The Truth Shall Die, Those Who Tell the Truth Shall Live Forever	The Moon Is Down	S:\Music\Explosions in the Sky\Those Who Tell The Truth Shall Die,\Explosions In The Sky - 03 - The Moon Is Down.mp3
Explosions In The Sky	Explosions in the Sky	Those Who Tell The Truth Shall Die, Those Who Tell the Truth Shall Live Forever	Have You Passed Through This Night?	S:\Music\Explosions in the Sky\Those Who Tell The Truth Shall Die,\Explosions In The Sky - 04 - Have You Passed Through This Night_.mp3
Explosions In The Sky	Explosions in the Sky	Those Who Tell The Truth Shall Die, Those Who Tell the Truth Shall Live Forever	A Poor Man's Memory	S:\Music\Explosions in the Sky\Those Who Tell The Truth Shall Die,\Explosions In The Sky - 05 - A Poor Man's Memory.mp3
Explosions In The Sky	Explosions in the Sky	Those Who Tell The Truth Shall Die, Those Who Tell the Truth Shall Live Forever	With Tired Eyes, Tired Minds, Tired Souls, We Slept	S:\Music\Explosions in the Sky\Those Who Tell The Truth Shall Die,\Explosions In The Sky - 06 - With Tired Eyes, Tired Minds, Tired Souls, We Slept.mp3
F3	F3	El Bladi	The Tunnel	S:\Music\F3\El Bladi\F3 - 01 - The Tunnel.mp3
Fabolous feat. Puff Daddy & Jagged Edge	Fabolous	DJ Envy-Snickers_Pt.3	Trade It All (remix)	S:\Music\Fabolous\DJ Envy-Snickers_Pt.3\Fabolous feat. Puff Daddy & Jagged  - 02 - Trade It All (remix).mp3
Fabolous	Fabolous		Right Now and Later On (Clean)	S:\Music\Fabolous\Unknown Album\Fabolous - 32 - Right Now and Later On (Clean).mp3
Faith Evans	Faith Evans		Soon As I Get Home	S:\Music\Faith Evans\Unknown Album\Faith Evans - 01 - Soon As I Get Home.mp3
Fats Domino	Fats Domino		Blueberry Hill	S:\Music\Fats Domino\Unknown Album\Fats Domino - Blueberry Hill.mp3
Fats Domino	Fats Domino		I'm Walkin'	S:\Music\Fats Domino\Unknown Album\Fats Domino - I'm Walkin'.mp3
Felix Mendehlson	Felix Mendehlson	Mt SAC Wind Ensemble Repertoire Spring 06	Track 1	S:\Music\Felix Mendehlson\Mt SAC Wind Ensemble Repertoire Spr\Felix Mendehlson - 01 - Track 1.mp3
Fergie	Fergie	The Dutchess	Clumsy	S:\Music\Fergie\The Dutchess\Fergie - 02 - Clumsy.mp3
Fergie feat Will.I.Am	Fergie	The Dutchess	Fergalicious	S:\Music\Fergie\The Dutchess\Fergie feat Will.I.Am - 01 - Fergalicious.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Prologue -- Tradition	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 01 - Prologue -- Tradition.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Matchmaker	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 02 - Matchmaker.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	If I Were a Rich Man	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 03 - If I Were a Rich Man.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Sabbath Prayer	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 04 - Sabbath Prayer.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	To Life	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 05 - To Life.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Miracle of Miracles	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 06 - Miracle of Miracles.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	The Dream	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 07 - The Dream.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Sunrise, Sunset	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 08 - Sunrise, Sunset.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Wedding Dance	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 09 - Wedding Dance.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Now I Have Everything	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 10 - Now I Have Everything.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Do You Love Me?	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 11 - Do You Love Me_.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	The Rumor	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 12 - The Rumor.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Far from the Home I Love	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 13 - Far from the Home I Love.mp3
Original Broadway Cast	Fiddler on the Roof	Fiddler on the Roof - Original Broadway Cast	Anatevka	S:\Music\Fiddler on the Roof\Fiddler on the Roof - Original Broa\Original Broadway Cast - 14 - Anatevka.mp3
Fifth Dimension	Fifth Dimension		Age of Aquarius	S:\Music\Fifth Dimension\Unknown Album\Fifth Dimension - Age of Aquarius.mp3
Final Fanasy VIII	Final Fanasy VIII		Sad Piano Theme	S:\Music\Final Fanasy VIII\Unknown Album\Final Fanasy VIII - Sad Piano Theme.mp3
Final Fantasy VII	Final Fantasy VII		Cloud's Theme (Orchestral)	S:\Music\Final Fantasy VII\Unknown Album\Final Fantasy VII - Cloud's Theme (Orchestral).mp3
Final Fantasy X	Final Fantasy X	FFX OST n°1	Opening Theme	S:\Music\Final Fantasy X\FFX OST n°1\Final Fantasy X - 02 - Opening Theme.mp3
Final Fantasy X	Final Fantasy X		Final Fantasy X Remix - Original Sin	S:\Music\Final Fantasy X\Unknown Album\Final Fantasy X - Final Fantasy X Remix - Original Sin.mp3
Five Discs	Five Discs		Never Let You Go	S:\Music\Five Discs\Unknown Album\Five Discs - Never Let You Go.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	My Evil Plan to Save the World	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 01 - My Evil Plan to Save the World.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	All That Is Good	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 02 - All That Is Good.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	Dandelions	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 03 - Dandelions.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	One Girl Army	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 04 - One Girl Army.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	Sweet Talkin' Woman	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 05 - Sweet Talkin' Woman.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	When I Go Out	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 06 - When I Go Out.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	Get Your Riot Gear	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 07 - Get Your Riot Gear.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	The Untimely Death of Brad	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 08 - The Untimely Death of Brad.mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	These Are Not My Pants (The Rock Opera) (Salsa)	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 09 - These Are Not My Pants (The Rock Opera) (Salsa).mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	These Are Not My Pants (The Rock Opera) (Meat Loaf)	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 10 - These Are Not My Pants (The Rock Opera) (Meat Loaf).mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	These Are Not My Pants (The Rock Opera) (Country)	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 11 - These Are Not My Pants (The Rock Opera) (Country).mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	These Are Not My Pants (The Rock Opera) (Heavy Metal)	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 12 - These Are Not My Pants (The Rock Opera) (Heavy Metal).mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	These Are Not My Pants (The Rock Opera) (R&B)	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 13 - These Are Not My Pants (The Rock Opera) (R&B).mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	These Are Not My Pants (The Rock Opera) (Reggae)	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 14 - These Are Not My Pants (The Rock Opera) (Reggae).mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	These Are Not My Pants (The Rock Opera) (Cha Cha)	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 15 - These Are Not My Pants (The Rock Opera) (Cha Cha).mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	These Are Not My Pants (The Rock Opera) (Hip-Hop)	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 16 - These Are Not My Pants (The Rock Opera) (Hip-Hop).mp3
Five Iron Frenzy	Five Iron Frenzy	Quantity Is Job 1 [EP]	When I Go Out/Kingdom of the Dinosaurs	S:\Music\Five Iron Frenzy\Quantity Is Job 1 [EP]\Five Iron Frenzy - 17 - When I Go Out_Kingdom of the Dinosaurs.mp3
Flash	Flash		Megatron	S:\Music\Flash\Unknown Album\Flash - Megatron.mp3
Fleetwood Mac	Fleetwood Mac	Greatest Hits	Go Your Own Way	S:\Music\Fleetwood Mac\Greatest Hits\Fleetwood Mac - 03 - Go Your Own Way.mp3
Fleetwood Mac	Fleetwood Mac	Greatest Hits	Go Your Own Way	S:\Music\Fleetwood Mac\Greatest Hits\Fleetwood Mac - Go Your Own Way.mp3
Fleetwood Mac	Fleetwood Mac	Greatest Hits	Sara	S:\Music\Fleetwood Mac\Greatest Hits\Fleetwood Mac - Sara.mp3
Fleetwood Mac	Fleetwood Mac	Rumors	Rumours (Full Album)	S:\Music\Fleetwood Mac\Rumors\Fleetwood Mac - 05 - Rumours (Full Album).mp3
Fleetwood Mac	Fleetwood Mac	Rumours	Songbird	S:\Music\Fleetwood Mac\Rumours\Fleetwood Mac - 06 - Songbird.mp3
Fleetwood Mac	Fleetwood Mac	Rumours	The Chain	S:\Music\Fleetwood Mac\Rumours\Fleetwood Mac - 07 - The Chain.mp3
Fleetwood Mac	Fleetwood Mac	The Very Best Of	Tusk	S:\Music\Fleetwood Mac\The Very Best Of\Fleetwood Mac - 13 - Tusk.mp3
Fleetwood Mac	Fleetwood Mac		Edge Of Seventeen	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - 01 - Edge Of Seventeen.mp3
Fleetwood Mac	Fleetwood Mac		Rhiannon	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - 01 - Rhiannon.mp3
Fleetwood Mac	Fleetwood Mac		Don't Stop	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Don't Stop.mp3
Fleetwood Mac	Fleetwood Mac		Dreams	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Dreams.mp3
Fleetwood Mac	Fleetwood Mac		Landslide (original)	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Landslide (original).mp3
Fleetwood Mac	Fleetwood Mac		Landslide	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Landslide.mp3
Fleetwood Mac	Fleetwood Mac		Rhiannon	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Rhiannon.mp3
Fleetwood Mac	Fleetwood Mac		Sarah	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Sarah.mp3
Fleetwood Mac	Fleetwood Mac		Songbird	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Songbird.mp3
Fleetwood Mac	Fleetwood Mac		Thunder Only Happens When Its Raining	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Thunder Only Happens When Its Raining.mp3
Fleetwood Mac	Fleetwood Mac		Thunder only happens	S:\Music\Fleetwood Mac\Unknown Album\Fleetwood Mac - Thunder only happens.mp3
Flight Of The Conchords	Flight Of The Conchords	Flight of the Conchords (Season 1)	Tape of Love	S:\Music\Flight Of The Conchords\Flight of the Conchords (Season 1)\Flight Of The Conchords - Tape of Love.mp3
Flight Of The Conchords	Flight Of The Conchords	HBO One Night Stand	Business Time	S:\Music\Flight Of The Conchords\HBO One Night Stand\Flight Of The Conchords - 04 - Business Time.mp3
Flight Of The Conchords	Flight Of The Conchords	The Lükinized Söündträkk	Not Crying	S:\Music\Flight Of The Conchords\The Lükinized Söündträkk\Flight Of The Conchords - 03 - Not Crying.mp3
Flight Of The Conchords	Flight Of The Conchords	The Lükinized Söündträkk	Inner City Pressure	S:\Music\Flight Of The Conchords\The Lükinized Söündträkk\Flight Of The Conchords - 04 - Inner City Pressure.mp3
FM Attack	FM Attack	Dreamatic	Memorex	S:\Music\FM Attack\Dreamatic\FM Attack - 04 - Memorex.mp3
FM Attack	FM Attack		A Million Miles Away	S:\Music\FM Attack\Unknown Album\FM Attack - A Million Miles Away.mp3
Four Tops	Four Tops		I Can't Help Myself (Sugar Pie Honey Bunch)	S:\Music\Four Tops\Unknown Album\Four Tops - I Can't Help Myself (Sugar Pie Honey Bunch).mp3
Four Tops	Four Tops		Reach Out I'll Be There	S:\Music\Four Tops\Unknown Album\Four Tops - Reach Out I'll Be There.mp3
Fox Amoore	Fox Amoore	Ecco II - Tides of Time	Tides of Time (Fox Amoore mix)	S:\Music\Fox Amoore\Ecco II - Tides of Time\Fox Amoore - Tides of Time (Fox Amoore mix).mp3
Fox Amoore	Fox Amoore		A Story in Sunset	S:\Music\Fox Amoore\Unknown Album\Fox Amoore - A Story in Sunset.mp3
Franc D'Ambrosio	Franc D'Ambrosio	Single	Danny Boy	S:\Music\Franc D'Ambrosio\Single\Franc D'Ambrosio - Danny Boy.mp3
Frank Sinatra	Frank Sinatra	20 Golden Greats	High Hopes	S:\Music\Frank Sinatra\20 Golden Greats\Frank Sinatra - 12 - High Hopes.mp3
Frank Sinatra	Frank Sinatra	A Selection of the Best Sinatra	Heaven	S:\Music\Frank Sinatra\A Selection of the Best Sinatra\Frank Sinatra - 17 - Heaven.mp3
Frank Sinatra	Frank Sinatra	A Selection of the Best Sinatra	Under My Skin	S:\Music\Frank Sinatra\A Selection of the Best Sinatra\Frank Sinatra - 32 - Under My Skin.mp3
Frank Sinatra	Frank Sinatra	Best Of	Luck Be a Lady Tonight	S:\Music\Frank Sinatra\Best Of\Frank Sinatra - 32 - Luck Be a Lady Tonight.mp3
Frank Sinatra	Frank Sinatra	Frank Sinatra	I did it my way	S:\Music\Frank Sinatra\Frank Sinatra\Frank Sinatra - 01 - I did it my way.mp3
Frank Sinatra	Frank Sinatra	Frank Sinatra Sings for Only the Lonely	Sleep Warm	S:\Music\Frank Sinatra\Frank Sinatra Sings for Only the Lo\Frank Sinatra - 13 - Sleep Warm.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	My Funny Valentine	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 01 - My Funny Valentine.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	Like Someone In Love	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 03 - Like Someone In Love.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	I've Got A Crush On You	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 04 - I've Got A Crush On You.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	Let's Fall In Love	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 05 - Let's Fall In Love.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	You'd Be So Easy To Love	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 06 - You'd Be So Easy To Love.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	Fly Me To The Moon (In Other Words)	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 07 - Fly Me To The Moon (In Other Words).mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	In The Blue Of Evening	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 08 - In The Blue Of Evening.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	Moonlight Serenade	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 09 - Moonlight Serenade.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	I'm Getting Sentimental Over You	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 10 - I'm Getting Sentimental Over You.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	In The Still Of The Night	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 11 - In The Still Of The Night.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	You And The Night And The Music	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 12 - You And The Night And The Music.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	Don't Take Your Love From Me	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 13 - Don't Take Your Love From Me.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	I Hadn't Anyone Till You	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 14 - I Hadn't Anyone Till You.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	My Heart Stood Still	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 15 - My Heart Stood Still.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	The Very Thought Of You	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 16 - The Very Thought Of You.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	The Way You Look Tonight	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 17 - The Way You Look Tonight.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	You Brought A New Kind Of Love To Me	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 18 - You Brought A New Kind Of Love To Me.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	Night And Day	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 19 - Night And Day.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	Come Rain Or Come Shine	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 20 - Come Rain Or Come Shine.mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	All The Way (Duet With Celine Dion)	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 21 - All The Way (Duet With Celine Dion).mp3
Frank Sinatra	Frank Sinatra	Greatest Love Songs	Strangers In The Night	S:\Music\Frank Sinatra\Greatest Love Songs\Frank Sinatra - 22 - Strangers In The Night.mp3
Frank Sinatra	Frank Sinatra	Jazz Vocal Mix	Fly Me to the Moon	S:\Music\Frank Sinatra\Jazz Vocal Mix\Frank Sinatra - 01 - Fly Me to the Moon.mp3
Frank Sinatra	Frank Sinatra	Jazz Vocal Mix	the Lady is a Tramp	S:\Music\Frank Sinatra\Jazz Vocal Mix\Frank Sinatra - 02 - the Lady is a Tramp.mp3
Frank Sinatra	Frank Sinatra	Live from Las Vegas	New York, New York	S:\Music\Frank Sinatra\Live from Las Vegas\Frank Sinatra - 32 - New York, New York.mp3
Frank Sinatra	Frank Sinatra	New York New York Disc 2	Just the Way You Look Tonight	S:\Music\Frank Sinatra\New York New York Disc 2\Frank Sinatra - 32 - Just the Way You Look Tonight.mp3
Frank Sinatra	Frank Sinatra	Nothing But the Best	The Way You Look Tonight	S:\Music\Frank Sinatra\Nothing But the Best\Frank Sinatra - 32 - The Way You Look Tonight.mp3
Frank Sinatra	Frank Sinatra	Sinatra: New York Disc 4	Stranger in the Night	S:\Music\Frank Sinatra\Sinatra_ New York Disc 4\Frank Sinatra - 10 - Stranger in the Night.mp3
Frank Sinatra	Frank Sinatra	The Complete Reprise Studio Recordings [UK] Disc 11	That's Life	S:\Music\Frank Sinatra\The Complete Reprise Studio Recordi\Frank Sinatra - 01 - That's Life.mp3
Frank Sinatra	Frank Sinatra	The Complete Reprise Studio Recordings Disc 11	Born Free	S:\Music\Frank Sinatra\The Complete Reprise Studio Recordi\Frank Sinatra - 02 - Born Free.mp3
Frank Sinatra	Frank Sinatra	The Complete Reprise Studio Recordings Disc 18	it had to be you	S:\Music\Frank Sinatra\The Complete Reprise Studio Recordi\Frank Sinatra - 32 - it had to be you.mp3
Frank Sinatra	Frank Sinatra	The Entertainers [Music Digital] Disc 2	Baby, Its Cold Outside	S:\Music\Frank Sinatra\The Entertainers [Music Digital] Di\Frank Sinatra_Dean Martin_Martino - 15 - Baby, Its Cold Outside.mp3
Frank Sinatra	Frank Sinatra	The Very Best Of Frank Sinatra - Disc 2	Young At Heart	S:\Music\Frank Sinatra\The Very Best Of Frank Sinatra - Di\Frank Sinatra - 05 - Young At Heart.mp3
Frank Sinatra	Frank Sinatra		Witchcraft	S:\Music\Frank Sinatra\Unknown Album\Frank Sinatra - 23 - Witchcraft.mp3
Frank Sinatra	Frank Sinatra		Singing in the Rain	S:\Music\Frank Sinatra\Unknown Album\Frank Sinatra - 32 - Singing in the Rain.mp3
Frank Sinatra	Frank Sinatra		I Get a Kick Out of You (Upbeat)	S:\Music\Frank Sinatra\Unknown Album\Frank Sinatra - I Get a Kick Out of You (Upbeat).mp3
Frank Sinatra	Frank Sinatra		I Wont' Dance	S:\Music\Frank Sinatra\Unknown Album\Frank Sinatra - I Wont' Dance.mp3
Frank Sinatra	Frank Sinatra		My Way	S:\Music\Frank Sinatra\Unknown Album\Frank Sinatra - My Way.mp3
Frank Sinatra	Frank Sinatra		New York New York	S:\Music\Frank Sinatra\Unknown Album\Frank Sinatra - New York New York.mp3
Frank Sinatra	Frank Sinatra		Strangers in the Night	S:\Music\Frank Sinatra\Unknown Album\Frank Sinatra - Strangers in the Night.mp3
Frank Sinatra	Frank Sinatra	Various albums	Come Fly With Me	S:\Music\Frank Sinatra\Various albums\Frank Sinatra - 02 - Come Fly With Me.mp3
Frank Sinatra	Frank Sinatra	Various albums	Swingin' On A Star	S:\Music\Frank Sinatra\Various albums\Frank Sinatra - 02 - Swingin' On A Star.mp3
Frank Sinatra	Frank Sinatra	Various albums	The Boys' Night Out	S:\Music\Frank Sinatra\Various albums\Frank Sinatra - 02 - The Boys' Night Out.mp3
Frank Sinatra	Frank Sinatra	Various albums	I've Got The World On A String	S:\Music\Frank Sinatra\Various albums\Frank Sinatra - 03 - I've Got The World On A String.mp3
